＃,大項目,小項目,前提条件,テスト手順,期待する結果
画面遷移--21,,画面遷移,未ログイン,TOP画面から「チケット申し込み」ボタンを押す,・ログイン画面へ遷移されること
画面遷移--20,,デザイン,当画面の表示中,画面表示を確認する,・デザインと同じこと
画面遷移--19,,URL,当画面の表示中,PC版で画面のURL表示を確認する,・「/login」が表示されていること
画面遷移--18,,画面タイトル,当画面の表示中,画面表示を確認する,・「ログイン」画面タイトルが表示されること
画面遷移--17,,メールアドレス,ログイン画面表示中,画面表示を確認する,"以下の項目が表示されること
・「メールアドレス」ラベル
・テキストボックス"
画面遷移--16,,,上記の続き,文字入力を行う,"入力できる
入力している文字が表示されること"
画面遷移--15,,,上記の続き,「メールアドレス」_入力値: abc@gmail.com,入力した文字が表示されます
画面遷移--14,,,上記の続き,「メールアドレス」_入力値: ABC@GMAIL.COM,入力した文字が表示されます
画面遷移--13,,,上記の続き,「メールアドレス」_入力値:メールアドレス形式不正: abc@gmail,"エラーメッセージが表示される
「メールアドレスが正しくありません。」"
画面遷移--12,,,上記の続き,「メールアドレス」_入力値:メールアドレス形式不正: abc!@gmail.com,"エラーメッセージが表示される
「メールアドレスが正しくありません。」"
画面遷移--11,,,上記の続き,「メールアドレス」_入力値:メールアドレス形式不正: test.abc,"エラーメッセージが表示される
「メールアドレスが正しくありません。」"
画面遷移--10,,,上記の続き,「メールアドレス」_入力値:メールアドレス形式不正: @gmail.com,"エラーメッセージが表示される
「メールアドレスが正しくありません。」"
画面遷移--9,,,上記の続き,全角文字を入力する,"エラーメッセージが表示される
「メールアドレスが正しくありません。」"
画面遷移--8,,,上記の続き,すべての内容をクリアする,"エラーメッセージが表示される
「メールアドレスを入力してください」"
画面遷移--7,,パスワード,ログイン画面表示中,画面表示を確認する,"以下の項目が表示されること
・「パスワード」ラベル
・テキストボックス
・アイコンマスクマーク状態：非アクティブ"
画面遷移--6,,,上記の続き,文字入力を行う,"入力できること
『*****』とマスク表示されること"
画面遷移--5,,,上記の続き,目アイコンを押下する,"−入力値：マスク表示が解除されること
−アイコンマスクマーク状態：アクティブ"
画面遷移--4,,,上記の続き,目アイコンをもう一度押下する,"–入力値：マスク表示されること
–アイコンマスクマーク状態：非アクティブ"
画面遷移--3,,,上記の続き,8文字以下を入力する,"エラーメッセージが表示されること
「パスワードは8文字以上32文字以下で指定してください。」"
画面遷移--2,,,上記の続き,32文字以上を入力する,32文字以上を入力できない
画面遷移--1,,,上記の続き,「数字」のみ入力する,エラーメッセージが表示されないこと
画面遷移-0,,,上記の続き,「英大文字・英小文字」のみ入力する,エラーメッセージが表示されないこと
画面遷移-1,,,上記の続き,「記号」のみ入力する,エラーメッセージが表示されないこと
画面遷移-2,,,上記の続き,「数字」と「英大文字・英小文字」のみ入力する,エラーメッセージが表示されないこと
画面遷移-3,,,上記の続き,「数字」と「記号」のみ入力する,エラーメッセージが表示されないこと
画面遷移-4,,,上記の続き,「記号」と「英大文字・英小文字」のみ入力する,エラーメッセージが表示されないこと
画面遷移-5,,パスワードをお忘れた場合,ログイン画面表示中,画面表示を確認する,「パスワードを忘れた方はこちら」リンクを示す下線が表示されていること
画面遷移-6,,,上記の続き,「パスワードを忘れた方はこちら」を押下する,パスワード再設定画面に遷移すること
画面遷移-7,,ログイン,ログイン画面表示中,画面表示を確認する,"下記の項目が表示されること
・ログインボタン
・初期状態：非活性"
画面遷移-8,,,"正しい登録メールアドレスを入力する
間違ったパスワードを入力する",「ログイン」ボタンを押下する,"・ログインできないこと
・エラーメッセージが表示されること
「ログインできませんでした。入力内容をご確認の上、もう一度お試しください。」"
画面遷移-9,,,"登録しないメールアドレスを入力する
正しいパスワードを入力する",「ログイン」ボタンを押下する,"・ログインできないこと
・エラーメッセージが表示されること
「ログインできませんでした。入力内容をご確認の上、もう一度お試しください。」"
画面遷移-10,,,正しい登録メールアドレスと正しいパスワードを入力する,「ログイン」ボタンを押下する,"・ログインできること
・プロファイル画面へ遷移すること"
画面遷移-11,,新規登録,ログイン画面表示中,画面表示を確認する,「新規登録」ボタンが表示されていること
画面遷移-12,,,上記の続き,「新規登録」ボタンを押下する,新規登録画面に遷移すること
画面遷移-13,,スクロール,"・1画面内に全て表示しきれない
・最下部を表示する",上へスクロールする,"・最上部までスクロールできること
・ヘッダー部分が固定されていること"
画面遷移-14,,,"・1画面内に全て表示しきれない
・最上部を表示する",下へスクロールする,最下部までスクロールできること
画面遷移-15,,,"・1画面内に全て表示しきれない
・真ん中を表示する",上下スクロールする,上下スクロールできること
